Serial,#,Date,LTP,%Change,High,Low,Open,Qty.,
60,241,6/23/2016,435,9.85,435,401,396,"156,869",
61,240,6/26/2016,415,-4.6,443,415,435,"62,449",
62,239,6/27/2016,424,2.17,434,420,415,"56,552",
63,238,6/28/2016,429,1.18,435,416,424,"27,672",
64,237,6/29/2016,433,0.93,437,418,429,"67,476",
65,236,6/30/2016,435,0.46,437,425,433,"60,741",
66,235,7/3/2016,434,-0.23,450,430,435,"19,157",
67,234,7/4/2016,428,-1.38,434,427,434,"22,942",
68,233,7/5/2016,425,-0.7,430,423,428,"10,719",
69,232,7/6/2016,422,-0.71,428,420,425,"20,544",
70,231,7/10/2016,420,-0.47,425,417,422,"33,129",
71,230,7/11/2016,412,-1.9,420,405,420,"14,144",
72,229,7/12/2016,405,-1.7,412,393,412,"22,869",
73,228,7/13/2016,397,-1.98,400,385,405,"15,233",
74,227,7/14/2016,412,3.78,423,395,395,"42,759",
75,226,7/17/2016,421,2.18,435,415,412,"32,931",
76,225,7/18/2016,415,-1.43,429,413,421,"13,166",
77,224,7/19/2016,420,1.2,424,405,415,"38,058",
78,223,7/20/2016,414,-1.43,422,412,422,"11,320",
79,222,7/21/2016,413,-0.24,414,401,414,"23,283",
80,221,7/25/2016,415,0.48,420,410,413,"21,184",
81,220,7/26/2016,424,2.17,428,410,415,"35,590",
82,219,7/27/2016,427,0.71,435,416,424,"33,978",
83,218,7/28/2016,423,-0.94,428,415,427,"28,720",
84,217,7/31/2016,465,9.93,465,420,423,"135,415",
85,216,8/1/2016,458,-1.51,485,440,465,"50,730",
86,215,8/2/2016,444,-3.06,455,436,458,"54,916",
87,214,8/3/2016,444,0,444,416,444,"24,492",
88,213,8/4/2016,415,-6.53,452,415,444,"29,163",
89,212,8/7/2016,445,7.23,456,423,415,"70,764",
90,211,8/8/2016,411,-7.64,440,403,445,"40,204",
91,210,8/9/2016,430,4.62,445,419,411,"5,971",
92,209,8/10/2016,434,1.16,453,414,438,"65,264",
93,208,8/11/2016,430,-1.38,439,424,436,"89,007",
94,207,8/14/2016,418,-2.79,422,404,422,"106,293",
95,206,8/15/2016,370,-2.63,394,350,380,"35,439",
96,205,8/16/2016,355,-4.05,367,349,365,"6,738",
97,204,8/17/2016,370,5.63,375,362,362,"15,832",
98,203,8/21/2016,362,-3.73,368,354,368,"2,985",
99,202,8/22/2016,335,-7.2,354,325,354,"12,380",
100,201,8/23/2016,331,-1.19,340,316,330,"15,006",
101,200,8/24/2016,324,-2.11,338,315,337,"7,157",
102,199,8/28/2016,336,3.7,346,318,324,"5,064",
103,198,8/29/2016,340,1.19,340,322,330,"6,465",
104,197,8/30/2016,343,0.88,343,335,335,"4,138",
105,196,8/31/2016,323,-5.83,337,317,337,"13,230",
106,195,9/1/2016,317,-1.86,322,312,317,"8,824",
107,194,9/4/2016,339,6.94,339,313,317,"15,750",
108,193,9/5/2016,329,-2.95,345,323,345,"7,583",
